Country,Localite,Category,Value,Date
Liberia,Lofa County,Cases,7,05/09/14
Liberia,Margibi County,Cases,2,05/09/14
Liberia,National,Cases,12,05/09/14
Liberia,National,Confirmed cases,6,05/09/14
Liberia,National,Deaths,11,05/09/14
Liberia,Nimba County,Cases,2,05/09/14
Guinea,Conakry,Cases,50,05/10/14
Guinea,Conakry,Deaths,24,05/10/14
Guinea,Dabola ,Cases,4,05/10/14
Guinea,Dabola ,Deaths,4,05/10/14
Guinea,Dinguiraye ,Cases,1,05/10/14
Guinea,Dinguiraye ,Deaths,1,05/10/14
Guinea,Gueckedou,Cases,149,05/10/14
Guinea,Gueckedou,Deaths,106,05/10/14
Guinea,Kissidougou,Cases,6,05/10/14
Guinea,Kissidougou,Deaths,5,05/10/14
Guinea,Macenta,Cases,23,05/10/14
Guinea,Macenta,Deaths,17,05/10/14
Guinea,National,Cases,233,05/10/14
Guinea,National,Confirmed cases,129,05/10/14
Guinea,National,Deaths,157,05/10/14
Guinea,Conakry,Cases,50,05/12/14
Guinea,Conakry,Deaths,24,05/12/14
Guinea,Dabola ,Cases,4,05/12/14
Guinea,Dabola ,Deaths,4,05/12/14
Guinea,Dinguiraye ,Cases,1,05/12/14
Guinea,Dinguiraye ,Deaths,4,05/12/14
Guinea,Gueckedou,Cases,163,05/12/14
Guinea,Gueckedou,Deaths,119,05/12/14
Guinea,Kissidougou,Cases,8,05/12/14
Guinea,Kissidougou,Deaths,6,05/12/14
Guinea,Macenta,Cases,22,05/12/14
Guinea,Macenta,Deaths,17,05/12/14
Guinea,National,Cases,248,05/12/14
Guinea,National,Confirmed cases,138,05/12/14
Guinea,National,Deaths,171,05/12/14
Guinea,Conakry,Cases,50,05/23/14
Guinea,Conakry,Deaths,25,05/23/14
Guinea,Dabola ,Cases,4,05/23/14
Guinea,Dabola ,Deaths,4,05/23/14
Guinea,Dinguiraye ,Cases,1,05/23/14
Guinea,Dinguiraye ,Deaths,1,05/23/14
Guinea,Gueckedou,Cases,170,05/23/14
Guinea,Gueckedou,Deaths,121,05/23/14
Guinea,Kissidougou,Cases,8,05/23/14
Guinea,Kissidougou,Deaths,6,05/23/14
Guinea,Macenta,Cases,22,05/23/14
Guinea,Macenta,Deaths,17,05/23/14
Guinea,National,Cases,258,05/23/14
Guinea,National,Confirmed cases,146,05/23/14
Guinea,National,Deaths,174,05/23/14
Guinea,Telimele,Cases,3,05/23/14
Guinea,Telimele,Deaths,0,05/23/14
Sierra Leone,Kailahun,Confirmed cases,1,05/25/14
Sierra Leone,Kailahun,Deaths,5,05/25/14
Sierra Leone,Kailahun,Cases,16,05/26/14
Sierra Leone,Kailahun,Confirmed cases,7,05/26/14
